Nro.,Escuela Profesional,Sede,Edad,Sexo,1.1 Semestre,1.2 Estado civil,1.3 Tiene Hijos,1.4 Trabaja y estudia,1.5 Vive Solo,1.6 Promedio ponderado,1.7 Nivel Socioeconómico,1.8 Excelencia académica
953,CONTABILIDAD,SICUANI,22,Femenino,8 semestre,Soltero,No,Si,Si,18.808,A,1
954,CONTABILIDAD,CUSCO,27,Masculino,8 semestre,Soltero,No,Si,No,13.507,A,0
955,CONTABILIDAD,SICUANI,25,Masculino,7 semestre,Soltero,No,Si,Si,14.073,C,0
956,CONTABILIDAD,PUERTO MALDONADO,20,Femenino,5 semestre,Soltero,No,No,No,16.891,A,0
957,CONTABILIDAD,CUSCO,25,Femenino,9 semestre,Soltero,No,Si,No,16.045,A,1
958,CONTABILIDAD,CUSCO,21,Femenino,9 semestre,Soltero,No,No,No,17.076,C,1
959,CONTABILIDAD,CUSCO,22,Femenino,8 semestre,Soltero,No,No,Si,16.775,C,1
960,CONTABILIDAD,SICUANI,28,Femenino,7 semestre,Soltero,No,No,No,17.59,C,1
961,CONTABILIDAD,CUSCO,31,Masculino,8 semestre,Conviviente,Si,Si,No,12.033,C,0
962,CONTABILIDAD,SICUANI,24,Femenino,10 semestre,Soltero,No,Si,Si,14.018,C,0
963,CONTABILIDAD,CUSCO,24,Femenino,10 semestre,Soltero,No,Si,Si,12.303,C,0
964,CONTABILIDAD,CUSCO,27,Femenino,10 semestre,Soltero,No,No,No,12.996,A,0
965,CONTABILIDAD,QUILLABAMBA,20,Femenino,5 semestre,Soltero,No,No,No,16.591,C,1
966,CONTABILIDAD,SICUANI,23,Femenino,6 semestre,Soltero,Si,Si,Si,15.573,C,1
967,CONTABILIDAD,CUSCO,22,Femenino,9 semestre,Soltero,No,No,No,11.007,A,0
968,CONTABILIDAD,CUSCO,21,Femenino,8 semestre,Soltero,No,No,No,13.671,A,0
969,CONTABILIDAD,SICUANI,24,Masculino,10 semestre,Soltero,No,Si,No,12.682,C,0
970,CONTABILIDAD,CUSCO,21,Femenino,8 semestre,Soltero,No,No,No,14.321,A,0
971,CONTABILIDAD,CUSCO,22,Femenino,9 semestre,Soltero,No,Si,Si,18.344,A,1
972,CONTABILIDAD,CUSCO,23,Masculino,10 semestre,Soltero,No,No,Si,15.908,A,1
973,CONTABILIDAD,CUSCO,25,Femenino,4 semestre,Soltero,No,Si,No,14.692,C,0
974,CONTABILIDAD,PUERTO MALDONADO,26,Masculino,10 semestre,Soltero,No,Si,Si,14.247,B,0
975,CONTABILIDAD,SICUANI,37,Masculino,5 semestre,Soltero,No,Si,Si,15.517,B,1
976,CONTABILIDAD,CUSCO,25,Femenino,8 semestre,Conviviente,No,Si,No,14.947,B,0
977,CONTABILIDAD,CUSCO,20,Femenino,3 semestre,Soltero,No,No,No,16.595,A,0
978,CONTABILIDAD,CUSCO,21,Masculino,8 semestre,Soltero,No,No,No,12.492,C,0
979,CONTABILIDAD,CUSCO,22,Femenino,10 semestre,Soltero,No,Si,No,17.417,C,1
980,CONTABILIDAD,CUSCO,25,Masculino,9 semestre,Soltero,No,No,No,15.635,C,1
981,CONTABILIDAD,QUILLABAMBA,31,Femenino,6 semestre,Soltero,Si,Si,No,16.899,C,1
982,CONTABILIDAD,PUERTO MALDONADO,18,Masculino,3 semestre,Soltero,No,Si,No,16.584,B,1
983,CONTABILIDAD,CUSCO,22,Femenino,10 semestre,Soltero,No,Si,No,14.389,B,0
984,CONTABILIDAD,PUERTO MALDONADO,21,Masculino,5 semestre,Soltero,No,Si,Si,19.481,C,1
985,CONTABILIDAD,CUSCO,26,Femenino,9 semestre,Soltero,No,Si,Si,14.224,A,0
986,CONTABILIDAD,QUILLABAMBA,20,Femenino,6 semestre,Soltero,No,Si,No,11.218,C,0
987,CONTABILIDAD,CUSCO,20,Femenino,3 semestre,Soltero,No,No,No,14.697,B,0
988,CONTABILIDAD,CUSCO,22,Femenino,10 semestre,Soltero,No,No,Si,18.016,A,1
989,CONTABILIDAD,CUSCO,19,Masculino,4 semestre,Soltero,Si,Si,No,14.817,A,0
990,CONTABILIDAD,PUERTO MALDONADO,23,Femenino,10 semestre,Soltero,No,Si,No,18.553,B,1
991,CONTABILIDAD,CUSCO,19,Femenino,5 semestre,Soltero,No,Si,No,17.699,A,1
992,CONTABILIDAD,CUSCO,21,Femenino,6 semestre,Soltero,No,No,No,14.329,B,0
993,CONTABILIDAD,SICUANI,26,Femenino,10 semestre,Soltero,No,Si,Si,14.552,B,0
994,CONTABILIDAD,CUSCO,22,Femenino,6 semestre,Soltero,No,No,Si,15.31,C,1
995,CONTABILIDAD,SICUANI,21,Masculino,5 semestre,Soltero,No,Si,Si,13.191,B,0
996,CONTABILIDAD,CUSCO,23,Masculino,6 semestre,Soltero,No,Si,No,13.542,B,0
997,CONTABILIDAD,CUSCO,19,Femenino,5 semestre,Soltero,No,Si,No,14.915,B,0
998,CONTABILIDAD,CUSCO,27,Femenino,7 semestre,Soltero,No,Si,No,12.437,B,0
999,CONTABILIDAD,SICUANI,21,Femenino,4 semestre,Soltero,No,Si,No,13.944,B,0
1000,CONTABILIDAD,CUSCO,22,Masculino,8 semestre,Soltero,No,No,No,14.381,A,0
1001,CONTABILIDAD,QUILLABAMBA,28,Masculino,7 semestre,Soltero,No,Si,Si,14.191,A,0
1002,CONTABILIDAD,SICUANI,25,Femenino,2 semestre,Soltero,No,Si,Si,11.826,C,0
1003,CONTABILIDAD,PUERTO MALDONADO,25,Femenino,9 semestre,Soltero,No,Si,Si,15.999,A,1
1004,CONTABILIDAD,SICUANI,26,Femenino,9 semestre,Soltero,No,Si,Si,13.102,C,0
1005,CONTABILIDAD,CUSCO,29,Femenino,8 semestre,Soltero,Si,Si,Si,11.153,C,0
1006,CONTABILIDAD,SICUANI,23,Masculino,6 semestre,Soltero,No,Si,Si,15.038,B,1
1007,CONTABILIDAD,SICUANI,27,Femenino,8 semestre,Soltero,Si,Si,Si,15.828,C,1
1008,CONTABILIDAD,CUSCO,22,Femenino,5 semestre,Soltero,No,Si,No,14.117,A,0
1009,CONTABILIDAD,CUSCO,21,Femenino,5 semestre,Soltero,No,Si,No,15.255,A,0
1010,CONTABILIDAD,SICUANI,24,Masculino,6 semestre,Soltero,No,Si,No,12.163,A,0
1011,CONTABILIDAD,CUSCO,22,Femenino,8 semestre,Soltero,No,Si,No,14.504,C,0
1012,CONTABILIDAD,QUILLABAMBA,39,Femenino,4 semestre,Conviviente,Si,Si,No,15.654,C,1
1013,CONTABILIDAD,SICUANI,29,Masculino,10 semestre,Soltero,No,Si,No,12.515,B,0
1014,CONTABILIDAD,PUERTO MALDONADO,20,Masculino,1 semestre,Soltero,No,Si,No,18.881,B,1
1015,CONTABILIDAD,SICUANI,22,Femenino,2 semestre,Soltero,No,No,No,17.041,C,1
1016,CONTABILIDAD,SICUANI,17,Femenino,1 semestre,Soltero,No,Si,Si,13.107,A,0
1017,CONTABILIDAD,SICUANI,36,Femenino,6 semestre,Conviviente,Si,Si,No,17.469,C,1
1018,CONTABILIDAD,PUERTO MALDONADO,18,Masculino,1 semestre,Soltero,No,No,No,16.856,C,1
1019,CONTABILIDAD,SICUANI,22,Masculino,5 semestre,Soltero,No,Si,No,17.932,A,1
1020,CONTABILIDAD,CUSCO,21,Masculino,8 semestre,Soltero,No,Si,Si,12.93,B,0
1021,CONTABILIDAD,CUSCO,25,Masculino,10 semestre,Conviviente,No,No,No,15.659,A,0
1022,CONTABILIDAD,CUSCO,23,Femenino,9 semestre,Soltero,No,Si,No,17.843,B,1
1023,CONTABILIDAD,SICUANI,40,Masculino,9 semestre,Soltero,Si,Si,No,15.129,C,1
1024,CONTABILIDAD,PUERTO MALDONADO,21,Femenino,6 semestre,Soltero,No,Si,Si,17.193,A,1
1025,CONTABILIDAD,CUSCO,17,Femenino,1 semestre,Soltero,No,No,Si,19.143,A,1
1026,CONTABILIDAD,CUSCO,23,Masculino,10 semestre,Soltero,No,Si,No,16.546,B,1
1027,CONTABILIDAD,SICUANI,23,Masculino,6 semestre,Soltero,No,Si,Si,18.91,A,1
1028,CONTABILIDAD,CUSCO,21,Masculino,4 semestre,Soltero,No,No,No,16.409,C,1
1029,CONTABILIDAD,CUSCO,22,Masculino,8 semestre,Soltero,No,No,No,15.898,C,1
1030,CONTABILIDAD,QUILLABAMBA,36,Femenino,9 semestre,Conviviente,Si,Si,No,12.514,B,0
1031,CONTABILIDAD,SICUANI,21,Femenino,8 semestre,Soltero,No,No,Si,11.574,B,0
1032,CONTABILIDAD,SICUANI,21,Femenino,3 semestre,Soltero,No,Si,Si,11.117,B,0
1033,CONTABILIDAD,SICUANI,21,Femenino,8 semestre,Soltero,No,Si,No,16.312,C,1
1034,CONTABILIDAD,QUILLABAMBA,27,Femenino,8 semestre,Conviviente,Si,Si,No,11.078,B,0
1035,CONTABILIDAD,CUSCO,24,Femenino,9 semestre,Soltero,No,Si,Si,14.915,A,0
1036,CONTABILIDAD,PUERTO MALDONADO,32,Femenino,8 semestre,Conviviente,Si,Si,No,11.512,B,0
1037,CONTABILIDAD,PUERTO MALDONADO,24,Masculino,8 semestre,Soltero,No,No,No,13.486,A,0
1038,CONTABILIDAD,CUSCO,21,Femenino,10 semestre,Soltero,No,No,No,13.704,A,0
1039,CONTABILIDAD,SICUANI,22,Femenino,9 semestre,Soltero,No,Si,No,11.802,C,0
1040,CONTABILIDAD,SICUANI,20,Femenino,5 semestre,Soltero,No,Si,No,15.606,C,1
1041,CONTABILIDAD,SICUANI,28,Femenino,10 semestre,Soltero,No,Si,Si,15.904,A,1
1042,CONTABILIDAD,CUSCO,22,Femenino,4 semestre,Soltero,No,Si,No,13.422,C,0
1043,CONTABILIDAD,CUSCO,25,Femenino,10 semestre,Soltero,No,Si,No,15.23,B,0
1044,CONTABILIDAD,SICUANI,27,Masculino,2 semestre,Soltero,Si,Si,No,13.881,C,0
1045,CONTABILIDAD,CUSCO,22,Femenino,9 semestre,Soltero,Si,Si,No,12.232,C,0
1046,CONTABILIDAD,SICUANI,24,Masculino,7 semestre,Soltero,Si,Si,Si,12.118,B,0
1047,CONTABILIDAD,CUSCO,21,Femenino,10 semestre,Soltero,No,No,No,18.98,C,1
1048,CONTABILIDAD,QUILLABAMBA,20,Masculino,3 semestre,Soltero,No,No,No,17.65,B,1
1049,CONTABILIDAD,CUSCO,22,Femenino,6 semestre,Soltero,No,No,No,13.549,C,0
1050,CONTABILIDAD,PUERTO MALDONADO,22,Masculino,5 semestre,Soltero,No,Si,No,12.654,B,0
1051,CONTABILIDAD,QUILLABAMBA,21,Masculino,5 semestre,Soltero,No,Si,No,16.374,C,1
1052,CONTABILIDAD,SICUANI,23,Masculino,7 semestre,Soltero,No,Si,No,12.237,A,0
1053,CONTABILIDAD,CUSCO,21,Femenino,9 semestre,Soltero,No,No,No,12.966,A,0
1054,CONTABILIDAD,CUSCO,24,Masculino,6 semestre,Soltero,No,Si,No,16.492,C,1
1055,CONTABILIDAD,SICUANI,31,Femenino,8 semestre,Soltero,No,Si,Si,12.569,C,0
1056,CONTABILIDAD,QUILLABAMBA,23,Femenino,6 semestre,Soltero,No,Si,No,18.054,C,1
1057,CONTABILIDAD,CUSCO,19,Femenino,4 semestre,Soltero,No,No,No,18.219,A,1
1058,CONTABILIDAD,PUERTO MALDONADO,23,Masculino,5 semestre,Conviviente,Si,Si,Si,15.563,C,1
1059,CONTABILIDAD,PUERTO MALDONADO,33,Femenino,9 semestre,Conviviente,Si,Si,No,16.952,A,1
1060,CONTABILIDAD,SICUANI,22,Masculino,9 semestre,Soltero,Si,Si,Si,13.069,B,0
1061,CONTABILIDAD,CUSCO,22,Masculino,9 semestre,Soltero,No,Si,No,12.247,B,0
1062,CONTABILIDAD,CUSCO,22,Masculino,4 semestre,Soltero,No,No,No,17.992,A,1
1063,CONTABILIDAD,SICUANI,18,Masculino,2 semestre,Soltero,No,No,Si,17.564,B,1
1064,CONTABILIDAD,QUILLABAMBA,19,Masculino,5 semestre,Soltero,No,Si,No,12.57,B,0
1065,CONTABILIDAD,CUSCO,21,Femenino,8 semestre,Soltero,No,Si,No,18.316,A,1
1066,CONTABILIDAD,SICUANI,17,Masculino,1 semestre,Soltero,No,No,No,19.008,C,1
1067,CONTABILIDAD,SICUANI,22,Masculino,4 semestre,Soltero,No,Si,Si,18.259,A,1
1068,CONTABILIDAD,CUSCO,26,Femenino,7 semestre,Casado,No,Si,No,19.438,A,1
1069,CONTABILIDAD,PUERTO MALDONADO,31,Femenino,10 semestre,Soltero,Si,Si,Si,12.853,B,0
1070,CONTABILIDAD,SICUANI,20,Masculino,3 semestre,Soltero,No,Si,Si,18.684,B,1
1071,CONTABILIDAD,SICUANI,28,Masculino,9 semestre,Soltero,No,Si,Si,15.042,A,1
1072,CONTABILIDAD,SICUANI,19,Masculino,2 semestre,Soltero,No,Si,No,14.403,B,0
1073,CONTABILIDAD,SICUANI,25,Masculino,8 semestre,Soltero,No,Si,Si,15.391,A,1
1074,CONTABILIDAD,CUSCO,21,Femenino,5 semestre,Soltero,No,Si,Si,12.431,C,0
1075,CONTABILIDAD,SICUANI,22,Masculino,7 semestre,Soltero,No,Si,Si,14.844,B,0
1076,CONTABILIDAD,CUSCO,21,Masculino,7 semestre,Soltero,No,No,No,17.657,A,1
1077,CONTABILIDAD,SICUANI,18,Femenino,3 semestre,Soltero,No,Si,No,11.668,A,0
1078,CONTABILIDAD,CUSCO,24,Femenino,8 semestre,Soltero,No,No,No,19.047,A,1
1079,CONTABILIDAD,SICUANI,25,Femenino,4 semestre,Soltero,No,Si,Si,14.368,C,0
1080,CONTABILIDAD,CUSCO,37,Femenino,9 semestre,Casado,Si,Si,Si,11.621,B,0
1081,CONTABILIDAD,CUSCO,19,Femenino,5 semestre,Soltero,No,Si,Si,18.367,B,1
1082,CONTABILIDAD,CUSCO,19,Masculino,2 semestre,Soltero,No,Si,Si,15.667,B,1
1083,CONTABILIDAD,CUSCO,19,Masculino,6 semestre,Soltero,Si,Si,No,18.735,C,1
1084,CONTABILIDAD,QUILLABAMBA,21,Masculino,9 semestre,Soltero,No,No,No,12.03,A,0
1085,CONTABILIDAD,PUERTO MALDONADO,19,Femenino,2 semestre,Soltero,No,Si,No,11.015,A,0
1086,CONTABILIDAD,CUSCO,25,Femenino,9 semestre,Soltero,No,Si,No,15.08,C,1
1087,CONTABILIDAD,CUSCO,22,Femenino,6 semestre,Conviviente,Si,Si,No,12.129,B,0
1088,CONTABILIDAD,CUSCO,39,Masculino,10 semestre,Casado,Si,Si,No,11.822,A,0
1089,CONTABILIDAD,CUSCO,30,Masculino,10 semestre,Soltero,No,Si,Si,16.71,A,1
1090,CONTABILIDAD,CUSCO,28,Masculino,8 semestre,Soltero,No,Si,No,11.669,A,0
1091,CONTABILIDAD,CUSCO,23,Femenino,8 semestre,Soltero,No,No,No,11.974,C,0
1092,CONTABILIDAD,PUERTO MALDONADO,22,Femenino,7 semestre,Soltero,No,Si,Si,17.771,B,1
1093,CONTABILIDAD,CUSCO,22,Masculino,8 semestre,Soltero,No,Si,Si,11.201,B,0
1094,CONTABILIDAD,CUSCO,19,Femenino,6 semestre,Soltero,No,Si,Si,13.475,C,0
1095,CONTABILIDAD,QUILLABAMBA,25,Femenino,5 semestre,Soltero,No,Si,Si,12.01,A,0
1096,CONTABILIDAD,PUERTO MALDONADO,19,Masculino,3 semestre,Soltero,No,No,No,11.156,A,0
1097,CONTABILIDAD,CUSCO,31,Masculino,10 semestre,Soltero,No,Si,No,17.673,B,1
1098,CONTABILIDAD,QUILLABAMBA,22,Femenino,5 semestre,Soltero,No,Si,No,19.04,A,1
1099,CONTABILIDAD,SICUANI,21,Femenino,2 semestre,Soltero,No,Si,No,16.653,C,1
1100,CONTABILIDAD,CUSCO,20,Femenino,5 semestre,Soltero,No,No,Si,17.742,C,1
1101,CONTABILIDAD,SICUANI,17,Femenino,1 semestre,Soltero,No,No,No,14.768,B,0
1102,CONTABILIDAD,QUILLABAMBA,23,Masculino,4 semestre,Soltero,No,Si,No,19.392,B,1
1103,CONTABILIDAD,CUSCO,26,Femenino,7 semestre,Soltero,No,Si,Si,12.297,C,0
1104,CONTABILIDAD,QUILLABAMBA,28,Masculino,9 semestre,Soltero,No,Si,No,14.913,C,0
1105,CONTABILIDAD,CUSCO,25,Masculino,10 semestre,Soltero,No,Si,Si,15.25,B,1
1106,CONTABILIDAD,SICUANI,24,Femenino,6 semestre,Soltero,No,Si,No,15.929,B,0
1107,CONTABILIDAD,SICUANI,22,Masculino,4 semestre,Soltero,No,Si,Si,12.926,C,0
1108,CONTABILIDAD,CUSCO,23,Femenino,8 semestre,Soltero,No,Si,Si,17.84,B,1
1109,CONTABILIDAD,PUERTO MALDONADO,23,Masculino,4 semestre,Soltero,No,Si,No,17.038,A,1
1110,CONTABILIDAD,SICUANI,26,Masculino,10 semestre,Soltero,No,Si,Si,15.672,C,1
1111,CONTABILIDAD,SICUANI,18,Masculino,1 semestre,Soltero,No,Si,No,15.573,A,0
1112,CONTABILIDAD,SICUANI,30,Femenino,4 semestre,Soltero,No,Si,No,16.193,C,1
1113,CONTABILIDAD,CUSCO,21,Femenino,4 semestre,Soltero,No,No,No,11.465,B,0
1114,CONTABILIDAD,PUERTO MALDONADO,20,Masculino,5 semestre,Soltero,No,Si,No,12.019,A,0
1115,CONTABILIDAD,QUILLABAMBA,24,Femenino,8 semestre,Conviviente,Si,Si,No,16.196,C,1
1116,CONTABILIDAD,CUSCO,24,Femenino,3 semestre,Soltero,No,Si,No,19.203,C,1
1117,CONTABILIDAD,QUILLABAMBA,27,Femenino,8 semestre,Soltero,No,Si,No,16.954,B,1
1118,CONTABILIDAD,CUSCO,23,Femenino,9 semestre,Soltero,No,No,No,15.984,B,1
1119,CONTABILIDAD,CUSCO,25,Femenino,10 semestre,Soltero,No,Si,Si,16.048,C,1
1120,CONTABILIDAD,QUILLABAMBA,23,Masculino,4 semestre,Soltero,No,Si,No,12.216,C,0
1121,CONTABILIDAD,QUILLABAMBA,22,Femenino,10 semestre,Soltero,No,Si,No,17.158,C,1
1122,CONTABILIDAD,CUSCO,29,Masculino,10 semestre,Conviviente,Si,Si,Si,18.834,B,1
1123,CONTABILIDAD,CUSCO,21,Masculino,9 semestre,Soltero,No,No,No,16.323,B,1
1124,CONTABILIDAD,QUILLABAMBA,19,Femenino,5 semestre,Soltero,No,No,No,18.531,C,1
1125,CONTABILIDAD,CUSCO,24,Femenino,8 semestre,Soltero,No,Si,Si,12.291,C,0
1126,CONTABILIDAD,CUSCO,27,Masculino,10 semestre,Conviviente,No,Si,No,14.888,A,0
1127,CONTABILIDAD,QUILLABAMBA,36,Femenino,7 semestre,Conviviente,Si,Si,No,13.764,A,0
1128,CONTABILIDAD,QUILLABAMBA,28,Femenino,4 semestre,Soltero,No,Si,Si,15.571,A,1
1129,CONTABILIDAD,CUSCO,24,Femenino,3 semestre,Soltero,No,Si,No,18.29,B,1
1130,CONTABILIDAD,CUSCO,31,Masculino,8 semestre,Soltero,No,Si,No,11.937,B,0
1131,CONTABILIDAD,CUSCO,24,Femenino,5 semestre,Soltero,No,No,No,18.661,C,1
1132,CONTABILIDAD,PUERTO MALDONADO,19,Masculino,4 semestre,Soltero,No,Si,No,13.899,B,0
1133,CONTABILIDAD,PUERTO MALDONADO,19,Masculino,5 semestre,Soltero,No,Si,No,11.966,A,0
1134,CONTABILIDAD,CUSCO,18,Femenino,3 semestre,Soltero,No,No,No,14.946,B,0
1135,CONTABILIDAD,QUILLABAMBA,37,Masculino,8 semestre,Conviviente,Si,Si,No,18.255,A,1
1136,CONTABILIDAD,SICUANI,25,Femenino,9 semestre,Conviviente,Si,Si,No,11.489,C,0
1137,CONTABILIDAD,QUILLABAMBA,36,Femenino,4 semestre,Soltero,Si,Si,No,15.933,A,1
1138,CONTABILIDAD,PUERTO MALDONADO,27,Masculino,10 semestre,Soltero,No,Si,No,16.706,C,1
1139,CONTABILIDAD,QUILLABAMBA,28,Femenino,2 semestre,Soltero,No,Si,Si,16.145,A,1
1140,CONTABILIDAD,CUSCO,20,Masculino,7 semestre,Soltero,No,Si,Si,17.179,B,1
1141,CONTABILIDAD,CUSCO,23,Masculino,5 semestre,Soltero,No,No,No,11.714,A,0
1142,CONTABILIDAD,CUSCO,19,Femenino,4 semestre,Soltero,No,Si,No,15.909,C,1
1143,CONTABILIDAD,PUERTO MALDONADO,27,Femenino,7 semestre,Conviviente,Si,Si,No,16.535,A,1
1144,CONTABILIDAD,CUSCO,25,Femenino,9 semestre,Soltero,No,No,No,13.817,A,0
1145,CONTABILIDAD,CUSCO,21,Femenino,7 semestre,Soltero,No,Si,No,15.261,A,0
1146,CONTABILIDAD,QUILLABAMBA,39,Masculino,3 semestre,Soltero,Si,Si,Si,18.972,B,1
1147,CONTABILIDAD,CUSCO,22,Femenino,10 semestre,Soltero,No,No,No,16.642,A,1
1148,CONTABILIDAD,CUSCO,19,Masculino,2 semestre,Soltero,No,No,No,14.669,B,0
1149,CONTABILIDAD,QUILLABAMBA,23,Masculino,3 semestre,Conviviente,Si,Si,No,16.792,B,1
1150,CONTABILIDAD,PUERTO MALDONADO,24,Masculino,4 semestre,Soltero,No,Si,No,14.944,C,0
1151,CONTABILIDAD,PUERTO MALDONADO,19,Femenino,3 semestre,Soltero,No,Si,No,13.945,A,0
1152,CONTABILIDAD,PUERTO MALDONADO,22,Femenino,8 semestre,Conviviente,No,Si,Si,18.75,A,1
1153,CONTABILIDAD,CUSCO,24,Femenino,8 semestre,Soltero,No,Si,No,15.623,C,1
1154,CONTABILIDAD,CUSCO,25,Masculino,10 semestre,Soltero,No,Si,No,11.608,A,0
1155,CONTABILIDAD,CUSCO,20,Femenino,6 semestre,Soltero,No,Si,No,12.421,C,0
1156,CONTABILIDAD,CUSCO,23,Masculino,9 semestre,Soltero,No,No,No,12.155,A,0
1157,CONTABILIDAD,QUILLABAMBA,20,Masculino,1 semestre,Soltero,No,No,No,12.444,B,0
1158,CONTABILIDAD,SICUANI,20,Femenino,7 semestre,Soltero,No,Si,No,15.283,A,0
1159,CONTABILIDAD,CUSCO,21,Masculino,6 semestre,Soltero,No,Si,No,15.937,B,0
1160,CONTABILIDAD,CUSCO,21,Femenino,9 semestre,Soltero,No,No,No,16.717,A,1
1161,CONTABILIDAD,SICUANI,25,Femenino,10 semestre,Soltero,No,Si,Si,15.385,A,1
1162,CONTABILIDAD,SICUANI,19,Femenino,6 semestre,Soltero,No,Si,Si,15.996,C,1
1163,CONTABILIDAD,SICUANI,26,Masculino,4 semestre,Soltero,No,Si,Si,11.381,B,0
1164,CONTABILIDAD,QUILLABAMBA,19,Femenino,2 semestre,Soltero,No,No,No,15.416,B,0
1165,CONTABILIDAD,CUSCO,31,Masculino,10 semestre,Soltero,No,No,No,18.678,B,1
1166,CONTABILIDAD,CUSCO,26,Femenino,8 semestre,Soltero,No,No,No,13.937,C,0
1167,CONTABILIDAD,SICUANI,27,Masculino,6 semestre,Soltero,Si,Si,No,12.925,A,0
1168,CONTABILIDAD,SICUANI,22,Masculino,8 semestre,Soltero,No,Si,Si,12.302,B,0
1169,CONTABILIDAD,SICUANI,21,Femenino,6 semestre,Soltero,Si,Si,No,14.843,C,0
1170,CONTABILIDAD,QUILLABAMBA,20,Femenino,1 semestre,Soltero,No,Si,No,15.709,B,0
1171,CONTABILIDAD,CUSCO,22,Femenino,7 semestre,Soltero,No,Si,No,11.016,C,0
1172,CONTABILIDAD,CUSCO,29,Femenino,6 semestre,Soltero,No,Si,Si,12.273,A,0
1173,CONTABILIDAD,CUSCO,22,Femenino,10 semestre,Soltero,No,No,No,11.376,A,0
1174,CONTABILIDAD,CUSCO,20,Masculino,4 semestre,Soltero,No,No,Si,19.36,C,1
1175,CONTABILIDAD,CUSCO,24,Masculino,4 semestre,Soltero,No,Si,No,15.928,B,0
1176,CONTABILIDAD,QUILLABAMBA,24,Femenino,10 semestre,Soltero,Si,No,No,13.746,A,0
1177,CONTABILIDAD,CUSCO,23,Femenino,1 semestre,Soltero,No,Si,Si,12.475,A,0
1178,CONTABILIDAD,CUSCO,22,Masculino,8 semestre,Soltero,No,No,No,18.643,B,1
1179,CONTABILIDAD,SICUANI,30,Femenino,9 semestre,Soltero,No,Si,No,17.861,C,1
1180,CONTABILIDAD,CUSCO,29,Femenino,6 semestre,Soltero,Si,Si,No,14.45,C,0
1181,CONTABILIDAD,CUSCO,22,Femenino,9 semestre,Soltero,No,Si,Si,17.808,A,1
1182,CONTABILIDAD,CUSCO,31,Masculino,9 semestre,Soltero,No,Si,Si,14.069,B,0
1183,CONTABILIDAD,SICUANI,25,Masculino,10 semestre,Soltero,No,Si,Si,13.701,C,0
1184,CONTABILIDAD,CUSCO,23,Femenino,6 semestre,Soltero,No,Si,Si,14.353,A,0
1185,CONTABILIDAD,CUSCO,23,Femenino,9 semestre,Soltero,No,No,Si,14.724,B,0
1186,CONTABILIDAD,PUERTO MALDONADO,21,Femenino,6 semestre,Soltero,No,Si,Si,11.102,B,0
1187,CONTABILIDAD,CUSCO,30,Femenino,3 semestre,Soltero,Si,Si,No,15.773,C,1
1188,CONTABILIDAD,CUSCO,19,Femenino,4 semestre,Soltero,No,No,No,14.872,A,0
1189,CONTABILIDAD,CUSCO,27,Femenino,8 semestre,Soltero,No,Si,Si,15.295,B,1
1190,CONTABILIDAD,QUILLABAMBA,19,Masculino,4 semestre,Soltero,No,Si,No,18.234,A,1
1191,CONTABILIDAD,CUSCO,24,Masculino,9 semestre,Soltero,No,No,No,11.812,C,0
1192,CONTABILIDAD,SICUANI,21,Femenino,6 semestre,Soltero,No,Si,Si,19.343,A,1
1193,CONTABILIDAD,CUSCO,21,Femenino,9 semestre,Soltero,No,Si,No,14.791,B,0
1194,CONTABILIDAD,SICUANI,22,Femenino,4 semestre,Soltero,No,Si,No,19.337,B,1
1195,CONTABILIDAD,CUSCO,32,Femenino,8 semestre,Soltero,No,No,No,18.957,A,1
1196,CONTABILIDAD,QUILLABAMBA,20,Masculino,5 semestre,Soltero,No,No,No,12.824,C,0
1197,CONTABILIDAD,CUSCO,24,Femenino,5 semestre,Soltero,No,Si,No,16.192,B,1
1198,CONTABILIDAD,CUSCO,25,Femenino,7 semestre,Soltero,No,Si,No,16.47,C,1
1199,CONTABILIDAD,CUSCO,24,Femenino,8 semestre,Conviviente,Si,Si,Si,16.942,C,1
1200,CONTABILIDAD,SICUANI,26,Masculino,3 semestre,Soltero,No,Si,Si,11.476,B,0
1201,CONTABILIDAD,QUILLABAMBA,19,Masculino,6 semestre,Soltero,No,Si,No,17.265,A,1
1202,CONTABILIDAD,CUSCO,20,Masculino,4 semestre,Soltero,No,No,Si,14.711,A,0
1203,CONTABILIDAD,CUSCO,26,Femenino,8 semestre,Soltero,No,Si,Si,14.721,B,0
1204,CONTABILIDAD,SICUANI,25,Masculino,10 semestre,Conviviente,Si,Si,Si,15.5,C,1
1205,CONTABILIDAD,QUILLABAMBA,26,Femenino,10 semestre,Soltero,No,Si,Si,13.521,C,0
1206,CONTABILIDAD,CUSCO,28,Masculino,8 semestre,Soltero,No,Si,No,13.462,A,0
1207,CONTABILIDAD,CUSCO,23,Femenino,9 semestre,Soltero,No,Si,No,11.937,C,0
1208,CONTABILIDAD,CUSCO,23,Masculino,10 semestre,Conviviente,Si,Si,No,14.245,A,0
1209,CONTABILIDAD,CUSCO,21,Masculino,9 semestre,Soltero,No,Si,No,17.213,A,1
1210,CONTABILIDAD,CUSCO,20,Femenino,3 semestre,Soltero,No,Si,No,16.495,A,1
1211,CONTABILIDAD,SICUANI,22,Masculino,10 semestre,Soltero,No,Si,Si,15.413,C,1
1212,CONTABILIDAD,SICUANI,26,Masculino,7 semestre,Soltero,No,Si,Si,11.969,A,0
